id,tier,pass,kind,industry,batches,tags,query,isHiring,toolCalls,failures,rationale
B01,basic,PASS,pass,Education,,,,false,3,,"Filtering to the Education industry across all YC batches with no additional constraints, as the user only specified the category."
B02,basic,PASS,pass,Fintech,,,,false,3,,Filtering YC directory to the Fintech industry across all batches with no extra tag or time constraints.
B03,basic,PASS,pass,Healthcare,,,,false,3,,Filtering by the Healthcare industry across all YC batches to surface healthcare startups.
B04,basic,PASS,pass,,Winter 2025|Spring 2025|Summer 2025|Fall 2025,,,false,3,,All four YC seasons in calendar year 2025 with no additional industry or tag filtering to capture every company.
B05,basic,PASS,pass,,Winter 2025|Spring 2025|Summer 2025|Fall 2025,,,false,3,,All four YC seasons in calendar year 2025 with no industry or tag restrictions.
B06,basic,PASS,pass,Education,Winter 2025|Spring 2025|Summer 2025|Fall 2025,,,false,4,,"Filtering to the Education industry limited to all four YC 2025 seasons (Winter, Spring, Summer, Fall)."
B07,basic,PASS,pass,Fintech,Winter 2025|Spring 2025|Summer 2025|Fall 2025,,,false,4,,Filtering to the Fintech industry across all four YC 2025 seasons with no extra tags or query text.
B08,basic,PASS,pass,Healthcare,,,,true,3,,"Filtering YC companies to the Healthcare industry that are currently hiring, with no time or tag restrictions."
B09,basic,PASS,pass,Fintech,,AI,,false,4,,"Filtering for companies in the Fintech industry that are also tagged AI, across all YC batches."
B10,basic,PASS,pass,Education,Summer 2026|Spring 2026|Winter 2026|Fall 2025,,,false,4,,Filtering Education industry startups within the four YC seasons spanning the last twelve months.
B11,basic,PASS,pass,,Summer 2025,,,false,3,,"Single explicit batch filter for Summer 2025 with no industry, tag, or query constraints to return the full batch roster."
B12,basic,PASS,pass,Education,,,,false,3,,Filtering YC companies by the Education industry across all batches to capture edtech startups.
C01,complex,PASS,pass,Education,Winter 2025|Spring 2025|Summer 2025|Fall 2025,AI,,true,5,,"Education industry companies from all four 2025 YC seasons, tagged AI, filtered to those currently hiring."
C02,complex,PASS,pass,Education,Winter 2025|Spring 2025|Summer 2025|Fall 2025,,,false,4,,Education industry filtered to the four calendar-2025 YC seasons as the user specified.
C03,complex,PASS,pass,Education,,,,false,3,,"Filtering to the Education industry across all YC batches, since the user's explicit request was for Education companies and the AI/climate scope note is unrelated background context rather than an additional filter."
